p_meaca,p_mrgse,p_camera,p_camera_R,p_qusage,p_plage,p_ora
0.5925041535138944,0.49313144497151523,0.6954942947051674,0.7443750356704012,0.23948913005020578,0.996,0.09512772314726345
0.333046944543105,0.043882371136943536,0.2896192280926524,0.1700737405587591,0.14387675704693814,0.935,0.5903933251610616
0.9760339074293914,0.6250388112595315,0.9310895424308421,0.7842239540101166,0.9731670979134812,0.963,0.3980053346136686
0.9129617299697816,0.7692055807953235,0.7595002463709805,0.8504197427533756,0.9057648091328768,0.913,0.6413425117059726
0.9540894711474652,0.48870515443259505,0.7386781686116943,0.7254201868957633,0.9162816527888261,0.796,0.18967138769029993
0.8468215501445983,0.9149331836365493,0.56184482348689,0.9346689655801015,0.7503414777159625,0.9,0.12980483745847993
0.7423637862753064,0.36669563981765274,0.5425088887813616,0.51702101146495,0.5014617371505476,0.956,0.40205183847055287
0.5433168134986945,0.19468718218196018,0.5323673601332362,0.4871140393713387,0.4014158757781265,0.847,0.30585982622349195
0.9417905499992725,0.6600375814446791,0.7102272847667774,0.8148614749757286,0.8802325985530649,0.833,0.011967680626849804
0.7577849032184674,0.8987034305831763,0.755760661327027,0.9438770919391005,0.4816583545964208,0.86,0.7568072745819245
0.6856954539024254,0.2403242294458701,0.5369008471812324,0.4269808697041515,0.6125522683669742,0.783,0.6092060043211316
0.9859437795957097,0.9467465519740249,0.9626699638067757,0.9721185610879723,0.9885733206404004,0.982,0.6656098434452637
0.8170513633669823,0.8989560761852351,0.8340236490931694,0.9327999867802409,0.7078050380048622,0.892,0.03704499286768637
0.722239499390398,0.45864759419758644,0.7704241395340643,0.6817619337715546,0.5424383958651338,0.885,0.8870431450810514
0.6417605232789854,0.22442103962643556,0.45573033240418925,0.4660648712120764,0.45692758503758024,0.902,0.5986249572025688
0.9786184211866336,0.39735506236706397,0.8350916225673908,0.707623977007081,0.9552874087213121,0.879,0.05253383992979642
0.8056530712856594,0.46151195283109603,0.7028433502790309,0.6077304718119376,0.7406147664204379,0.876,0.6888119718569403
0.7960388547238348,0.9214141569547587,0.9965383491874527,0.9663506258710517,0.41671347950290105,0.923,0.16618491450219106
0.678597503794701,0.38647239284753204,0.3923864866801001,0.6235528498475793,0.639879958510501,0.715,0.906473974784006
0.84508178172385,0.09934562757404777,0.508641380468571,0.43423669611118376,0.49539081849107025,0.746,0.20624799032530527
0.8740812480820996,0.49898360230058353,0.945731640541231,0.6167291698757118,0.8734456031859189,0.91,0.9454622376749804
0.9786636130014079,0.31980389961293015,0.7454429247320074,0.629126590884024,0.9418134237779439,0.847,0.7760705840569795
0.7860421159493725,0.35922706752332484,0.33786293492764574,0.43271626984096156,0.664678306756808,0.961,0.49375038331309584
0.9994472741669136,0.5982819204449967,0.9345913624945106,0.77694692346108,0.9891000203509965,0.999,0.5125798453085777
0.8053640184443187,0.26428660504333334,0.8027248300378838,0.5495347857320955,0.7985105958280005,0.949,0.25561334270092745
