p_meaca,p_mrgse,p_sigpath,p_camera,p_camera_R,p_qusage,p_plage,p_ora
0.7954912343703833,0.6424942802612499,0.777,0.9082453610226401,0.8298795595934434,0.906628235312155,0.313,0.15598217618332708
0.43547244011957564,0.36142231988328694,0.463,0.6324152601211253,0.5539579249668951,0.5813269879013867,0.392,0.7765939257181219
0.08175382020189781,0.08652903119776628,0.085,0.127340622508542,0.12520296598276925,0.07738049204765196,0.312,0.3159789057017956
0.954046896804727,0.9910488618486525,0.956,0.9744198709065011,0.9946804609644223,0.9814134107471386,0.342,0.16044957708275517
0.7720431117350747,0.9274421488820477,0.797,0.8871890714903907,0.9596645352807555,0.8849547996715594,0.379,0.06486038947190344
0.03881579738482843,0.07209089341818348,0.062,0.3400158610916123,0.33967908104274513,0.2806579487302403,0.378,0.15820936014037157
0.6189259042406896,0.7145845895431886,0.657,0.8010584078877733,0.8326183824293425,0.7690588609850053,0.223,0.3128262607851759
0.5902115748610302,0.5731610380495824,0.638,0.8147195119862658,0.7620703095344923,0.7852174111328867,0.395,0.5385059176838712
0.06784872882697646,0.06139932584938966,0.044,0.18880078901506736,0.2008520337658996,0.13181744466566991,0.33,0.7765939257181219
0.9695350356646739,0.9353412214121051,0.964,0.9835543369726161,0.9709850895121575,0.9935951583180838,0.311,0.5385059176838712
0.39499553662665354,0.3501927614522943,0.362,0.5456485150403565,0.5280148453762272,0.493477633230881,0.394,0.3128262607851759
0.21518116286355227,0.17403190212016464,0.246,0.523167620063614,0.4391463212797846,0.4632694002901807,0.352,0.7765939257181219
0.4539552250832448,0.6363874419905133,0.533,0.7362696950009859,0.7909764986805934,0.7185600457512547,0.433,0.7789297476370726
0.4563919458227059,0.652547897653129,0.471,0.6564995823306227,0.7720381323496457,0.6085010047103485,0.394,0.007698967367945168
0.9782335552106819,0.85650543694762,0.984,0.9911950416978925,0.9285416436901552,0.9803114440604754,0.261,0.5385059176838712
0.6003624232424607,0.579662840668809,0.584,0.7678975121963141,0.7637134734971884,0.7518886132068193,0.362,0.31913429661302434
0.6087179693843613,0.7926090675617057,0.577,0.7567535788517288,0.8780303090831862,0.7397970796747927,0.441,0.3128262607851759
0.6633417024567116,0.71343223233796,0.709,0.8404086123681332,0.8559882482168892,0.8137414268227234,0.398,0.5385059176838712
0.459235151250986,0.46179078780091365,0.505,0.7204766832491803,0.6914834627733892,0.6979465127547179,0.297,0.3128262607851759
0.6425769595731288,0.6062183886516738,0.608,0.7770444930919167,0.7740653386403763,0.7427379970356613,0.259,0.5385059176838712
0.5032244792028312,0.3179840710065842,0.471,0.754796037484741,0.6508478996244245,0.7363818826125844,0.293,0.1537681690989709
0.9260787698923123,0.9193826515874965,0.919,0.9443372404972395,0.9404688423555712,0.9266271248420039,0.269,0.9426118451675107
0.08106809597065445,0.07201919382935526,0.088,0.4435899473067434,0.41777600918967095,0.3957679637932093,0.34,0.5385059176838712
0.41873903278450375,0.3758735163167388,0.415,0.48578701412095204,0.4503348471737161,0.4270451141340519,0.456,0.5385059176838712
0.8505926561553013,0.7642994638915663,0.81,0.9099850268268296,0.8748314006093372,0.9088674710412878,0.337,0.06486038947190344
0.6733067398869002,0.874074999544349,0.613,0.8242894904480265,0.9419784143698536,0.7929156464693481,0.318,0.0022177290235968817
0.005016305235574947,0.04229278420370637,0.019,0.2188914862175745,0.26198888170368706,0.169132372967313,0.374,0.5385059176838712
0.4118450620441224,0.3608889560663605,0.452,0.629177375065052,0.5128379705330648,0.5839694280796108,0.372,0.7765939257181219
0.9526577581298526,0.9912542490793252,0.959,0.9732092860966891,0.9946529225175562,0.9802209726567085,0.24,0.7765939257181219
0.10649450719083364,0.17099598956489298,0.151,0.433405395601534,0.44998074350716843,0.3726743432054771,0.365,0.0022177290235968817
0.903773685459929,0.774152492053497,0.929,0.930107931515098,0.8155914552151641,0.9126861193334275,0.324,0.1537681690989709
0.7049039267870285,0.5897569431713713,0.719,0.8539662467828484,0.7816457205150096,0.8297412622392635,0.36,0.7789297476370726
0.2746754581586627,0.22317635441690492,0.338,0.617877751265054,0.5374851223424497,0.5879346500646411,0.374,0.007698967367945168
0.9384884484521452,0.9476483312975496,0.92,0.939318663034052,0.962843684956403,0.9422687909113221,0.346,0.5418438228636026
0.5989733595228957,0.7229623605487785,0.669,0.8187892346603594,0.8450985101444459,0.8077996694121774,0.329,0.15820936014037157
0.17749899162819072,0.2564568860072354,0.247,0.5907586980084087,0.598074606102087,0.5567073489312736,0.298,0.06734025469295887
0.6114288563159329,0.6570234190098942,0.687,0.7927324101110705,0.7803371138820324,0.7797246453632813,0.393,0.02380629535406692
0.2895069842601088,0.5097228280678434,0.369,0.5260622504780688,0.6434316428039502,0.4883242867216016,0.346,0.5385059176838712
0.6530056125390706,0.8007276458223802,0.734,0.8333867786553728,0.8824309499617843,0.8271571248129344,0.271,0.3159789057017956
