p_meaca,p_mrgse,p_sigpath,p_camera,p_camera_R,p_gsea,p_qusage,p_plage,p_ora
0.41734968092627167,0.07066555744610581,0.049,0.2613859538227236,0.28334346663631627,0.36683316683316686,0.21536843431460406,0.333,0.3128262607851759
0.7161024512258231,0.7305370801076976,0.701,0.8374355101883346,0.8593690473031361,0.38308691308691306,0.5932266320002764,0.291,0.7765939257181219
0.9109845907117883,0.9562635395897712,0.896,0.9660994347263953,0.979080987931283,0.3637362637362637,0.7742176721289864,0.43,0.3128262607851759
0.7487247971147872,0.5583603680331488,0.568,0.7109521882968488,0.6994298132655566,0.38870129870129866,0.6691195804467024,0.339,0.5385059176838712
0.9112526437031878,0.8307623020162789,0.917,0.9369419562373219,0.8870332824628956,0.382037962037962,0.8805081506115995,0.238,0.3128262607851759
0.687850074054762,0.6001532919987278,0.537,0.630395817938057,0.6702092245602159,0.38523476523476524,0.563858988664554,0.284,0.3128262607851759
0.893384050928644,0.2103305426878676,0.259,0.5590929787483526,0.5393005747216357,0.3662937062937063,0.8430272213559306,0.326,0.5385059176838712
0.8809866132439043,0.992552309216282,0.917,0.954707549881627,0.9959543431587167,0.3923376623376624,0.8085215571557514,0.401,0.7789297476370726
0.37527856534592996,0.016759975040215133,0.011,0.2978657555537109,0.31447369499303274,0.3635064935064935,3.6688610829727634e-4,0.391,0.5385059176838712
0.9170717877511122,0.7793653249604923,0.877,0.9378299396804499,0.9073208217014076,0.3877122877122877,0.7605963971315151,0.276,0.06734025469295887
0.5379848877790836,0.03353195239354469,0.028,0.44189784979879054,0.45226888405824306,0.3717182817182817,9.614678572515866e-4,0.365,0.9426118451675107
0.9504440214595715,0.18134987464570584,0.245,0.48665955760918467,0.4279416250605632,0.3663936063936064,0.9301169928293856,0.309,0.06486038947190344
0.5827165593219015,0.9841154242287867,0.82,0.9289778492209861,0.9925887339058602,0.3005094905094905,0.06226907990229946,0.351,0.02437363612997934
0.6352680405424107,0.2817923579652661,0.224,0.3822800903280351,0.41544120790757977,0.36926073926073927,0.5220494809889124,0.369,0.5418438228636026
0.5606424411947365,0.6525330495128308,0.568,0.718235186446534,0.776128750813162,0.3943056943056943,0.552751515818878,0.393,0.9434221525810278
0.9034819541422663,0.7637850234119595,0.77,0.8527659922093997,0.8483818955799833,0.35112887112887115,0.8197448802366475,0.358,0.1537681690989709
0.670661340903338,0.02362808090533028,0.028,0.2617070619666676,0.23984126389716998,0.36465534465534466,0.5347723369011107,0.247,0.7789297476370726
0.7353521076589362,0.2935252327536121,0.347,0.7024249436948786,0.6562306798295854,0.4096803196803197,0.4890926262894761,0.338,0.3128262607851759
0.5006518779388387,0.842895917485468,0.792,0.8779466804771809,0.8902736950745391,0.3825774225774226,0.2164053793169778,0.361,0.5385059176838712
0.5823426243046133,0.010185393311191745,0.01,0.3454947468349724,0.3400746225299488,0.3847852147852148,0.004889744181704751,0.381,0.5484778799627317
0.7304147327446759,0.4580827812329935,0.556,0.762580628574169,0.7147077586402875,0.4095904095904096,0.44016286321486175,0.365,0.5385059176838712
0.7666558145183895,0.07127955897915825,0.041,0.46555508225105224,0.5002845705590107,0.3944855144855145,0.02256597102578577,0.378,0.5385059176838712
0.9352118376614951,0.5271801753104928,0.597,0.7015767044868257,0.6399133251777762,0.3933166833166833,0.9267973852640122,0.251,0.5484778799627317
0.9195522827940401,0.823033262494325,0.965,0.9966930775315903,0.9219539861476989,0.3836763236763237,0.6534993367445688,0.295,0.5385059176838712
0.9290462586568681,0.2949519466034099,0.318,0.4276975632301472,0.4147855632975137,0.33399600399600404,0.8595574956678238,0.302,0.06609348855845944
0.5044667063375009,0.42588782567986516,0.545,0.7188567133584659,0.6341815356359493,0.38351648351648354,0.4403881308379765,0.355,0.7765939257181219
0.8170103011509908,0.6466196857979034,0.544,0.7698222766231357,0.8079907793315799,0.3646153846153846,0.682669652767788,0.345,0.7789297476370726
0.5640751831561137,0.280243792653643,0.244,0.5319059650801807,0.5460380740935025,0.3673026973026973,0.3061602781372374,0.331,0.7765939257181219
0.3290365910915074,0.19232522315361644,0.227,0.3593733709208804,0.34691795797928493,0.39756243756243753,0.0938414414786559,0.371,0.7765939257181219
0.9864321161274767,0.9902725035951623,0.986,0.9921248372231749,0.9947639037114099,0.3615284715284715,0.9733231392036004,0.339,0.06486038947190344
0.679715381109883,0.9181689038976041,0.776,0.8488265901138727,0.9323977596282684,0.36538461538461536,0.4725048973963604,0.278,0.5385059176838712
0.5801435535223899,0.2396198127937467,0.301,0.48203921598166954,0.42886776583665787,0.36055944055944056,0.43785347415418197,0.384,0.7765939257181219
0.7024256726960967,0.12050772535581243,0.111,0.5707803117403435,0.5719764502520137,0.4105494505494505,0.1781753423123421,0.407,0.7789297476370726
0.874076311349459,0.8745780593135672,0.892,0.934969372177614,0.9259148975491396,0.40403596403596403,0.8749364320461408,0.435,0.7789297476370726
0.6734276397501886,0.8274071168318108,0.876,0.9328754104327714,0.9100744622228976,0.34561438561438557,0.4877146132418304,0.283,0.3128262607851759
0.9994116881643778,0.9947993123595829,0.993,0.9980130027954882,0.9967876630529768,0.38537462537462536,0.9891741225622583,0.301,0.7789297476370726
0.8672276165715184,0.9392645223359004,0.9,0.9709940779755655,0.9703445626721074,0.3482217782217782,0.7858752031313155,0.356,0.5451678456434617
