"meaca" "meaca_n" "MRGSE" "SigPathway" "CAMERA_ModT" "CAMERA_Rank" "GSEA" "QuSAGE" "p_ora" "testSetCor" "interCor" "backSetCor" "status"
2.07899082615981e-07 2.07899082615981e-07 0.110141365776596 0.001 0.117925606401432 0.623133307604418 0.000999000999000999 0.010513833309741 2.9987859645822e-08 0.122077538197547 0.123160050470812 0.185872392813353 "up"
1.66533453693773e-15 1.55431223447522e-15 0.000149832483801802 0.001 0.0178081996026617 0.25806561721494 0.000999000999000999 2.99077997151868e-05 6.01377818177962e-14 0.12906743124166 0.121637681735696 0.173296417161987 "up"
4.01726774068578e-09 4.01726762966348e-09 0.00443090604489707 0.001 0.0454243497332253 0.337167133646548 0.000999000999000999 0.00226129553136369 1.79438399547808e-10 0.098553235961199 0.0947562075342281 0.137678310378021 "up"
9.34050614631587e-11 9.34050614631587e-11 0.00155736455237792 0.001 0.0333896140281046 0.298334640035074 0.000999000999000999 0.000666472471914387 4.24516594680188e-10 0.104232292631344 0.101674823290772 0.150791753319905 "up"
1.3171456223926e-05 1.3171456223926e-05 0.285401905955894 0.001 0.101837945305489 0.679667512545446 0.000999000999000999 0.0224249450344231 7.04213335186756e-08 0.0725795142322971 0.0701217567794751 0.102264043628248 "up"
7.87000607971322e-06 7.87000607971322e-06 0.0265436321850743 0.001 0.172952289684528 0.492093426491579 0.000999000999000999 0.0774752716178558 3.79965656677689e-07 0.119925643463813 0.113582975765891 0.163088738875334 "up"
0.000338483626443731 0.000338483626443731 0.860866727396112 0.002 0.233986628491503 0.951824381270425 0.000999000999000999 0.0521679338142942 0 0.0948288213652456 0.096879629707073 0.145798645607712 "up"
2.09701228714998e-07 2.09701228603976e-07 0.0407194368676891 0.002 0.145192498554672 0.529955297681385 0.000999000999000999 0.0441788908445919 3.79965656677689e-07 0.12246135675586 0.121067310267274 0.177945091150832 "up"
2.08745158047918e-07 2.08745158047918e-07 0.0755542469427742 0.001 0.056583615490645 0.512711666888407 0.000999000999000999 0.00225936168326291 6.34142980751902e-09 0.0809838663786396 0.0813333258123907 0.122620461948841 "up"
8.76269434790800e-09 8.76269434790800e-09 0.0291818794712222 0.001 0.0198165389320781 0.359507379320662 0.000999000999000999 0.000150673670682734 6.38689026121587e-09 0.0589086992253539 0.0623176601554515 0.0948946696617089 "up"
7.12560126322481e-05 7.12560126323591e-05 0.699108109865268 0.002 0.126099370974513 0.872965337775935 0.000999000999000999 0.0219503699318026 2.72224129895529e-06 0.0618156219313448 0.0644722854802879 0.0976269848893009 "up"
8.58814019899512e-10 8.58814130921814e-10 0.0643388574980902 0.001 0.0504323702016845 0.556521871574565 0.000999000999000999 0.000681760445962208 5.25253152434873e-11 0.113349044413993 0.107366997689717 0.155264090802324 "up"
2.65537133059546e-07 2.65537132948523e-07 0.0936426382534389 0.001 0.0777950422546072 0.571768716489366 0.000999000999000999 0.00658780414622044 2.35413747959014e-09 0.0992539084150711 0.100568664228782 0.152925564952176 "up"
1.95852472018032e-08 1.95852472018032e-08 0.0258140497462941 0.001 0.0303066157033583 0.408968581793846 0.000999000999000999 0.000296220735581611 1.20118657419639e-09 0.0796862982098991 0.0803307408969437 0.124792712598877 "up"
5.82867087928207e-13 5.82867087928207e-13 0.00388290201142479 0.001 0.0141697950679059 0.30979005194624 0.000999000999000999 5.8933686033393e-06 0 0.0894355670019074 0.0918330108475879 0.138401012848871 "up"
2.8093083415115e-12 2.8093083415115e-12 0.0022823399593856 0.001 0.0106989823631671 0.270272904316025 0.000999000999000999 2.57628774549823e-06 1.56861727967347e-07 0.0838619896922739 0.0832469258034979 0.12690501302636 "up"
4.42342814599428e-08 4.42342813489205e-08 0.0947076012185296 0.001 0.0717310468964542 0.584878340509932 0.000999000999000999 0.00367271529378868 0 0.106527712801641 0.0998212507516476 0.144332328473213 "up"
